agent,env,corruption_type,epsilon,d,m,T,mean_regret,median_regret,std_regret,se_regret,ci95_lower,ci95_upper,n_seeds,mean_queries,mean_tokens
cts,mind_simulated,none,0.0,200,5,2000,1207.3944498258093,1182.7188650233797,95.7434408142984,21.4088842060499,1165.4330367819514,1249.3558628696671,20,0.0,0.0
cucb,mind_simulated,none,0.0,200,5,2000,1920.4522738189821,1841.471115530335,358.591369603724,80.18346785786787,1763.2926768175616,2077.6118708204035,20,0.0,0.0
ellm_adapted,mind_simulated,partial_overlap,0.15,200,5,2000,2306.6844749561915,2183.8606165968185,686.6510365448058,153.53983945348784,2005.7463896273557,2607.622560285028,20,6000.0,0.0
ellm_adapted,mind_simulated,uniform,0.1,200,5,2000,2306.68447495619,2183.860616596806,686.6510365448061,153.53983945348782,2005.7463896273543,2607.622560285027,20,6000.0,0.0
ellm_adapted,mind_simulated,uniform,0.3,200,5,2000,2306.6844749561915,2183.8606165968195,686.651036544806,153.53983945348782,2005.7463896273557,2607.622560285028,20,6000.0,0.0
llm_cucb_at,mind_simulated,partial_overlap,0.15,200,5,2000,1930.5731846346578,1848.2953057915659,366.82176865822083,82.02384103464836,1769.806456206747,2091.3399130625685,20,1834.95,0.0
llm_cucb_at,mind_simulated,uniform,0.1,200,5,2000,1927.0122623761195,1860.218136348767,362.80676799437674,81.12605959324213,1768.0051855733645,2086.019339178874,20,1881.6,0.0
llm_cucb_at,mind_simulated,uniform,0.3,200,5,2000,1926.7275509245064,1860.7078724861076,370.9094539506079,82.9378752530887,1764.1693154284521,2089.28578642056,20,1801.5,0.0
llm_greedy,mind_simulated,partial_overlap,0.15,200,5,2000,2296.2704979417294,2169.3445249174365,637.1525820384434,142.4716485477471,2017.0260667881453,2575.5149290953136,20,6000.0,0.0
llm_greedy,mind_simulated,uniform,0.1,200,5,2000,2300.7555445901116,2167.106027283164,663.3897673934874,148.33846154696116,2010.0121599580677,2591.4989292221553,20,6000.0,0.0
llm_greedy,mind_simulated,uniform,0.3,200,5,2000,2287.8602476838923,2163.888436931132,613.6365621406716,137.21330664258156,2018.922166664433,2556.7983287033526,20,6000.0,0.0
warm_start_cts,mind_simulated,partial_overlap,0.15,200,5,2000,1144.1823972055,1126.018873987257,86.73317558030334,19.39412765019831,1106.1699070111115,1182.1948873998888,20,3.0,0.0
warm_start_cts,mind_simulated,uniform,0.1,200,5,2000,1125.2758361789433,1122.575255557836,57.885477959429984,12.943586362735122,1099.9064069079825,1150.6452654499042,20,3.0,0.0
warm_start_cts,mind_simulated,uniform,0.3,200,5,2000,1113.8232504982677,1122.575255557836,69.92886146276638,15.63656878199109,1083.1755756855653,1144.4709253109702,20,3.0,0.0
