agent,env,corruption_type,epsilon,d,m,T,mean_regret,median_regret,std_regret,se_regret,ci95_lower,ci95_upper,n_seeds,mean_queries,mean_tokens
cts,influence_max_simulated,none,0.0,200,10,5000,389.75140403437155,392.50147588451443,40.28336613140623,9.007634503233708,372.0964404080334,407.4063676607096,20,0.0,0.0
cucb,influence_max_simulated,none,0.0,200,10,5000,5142.037037964978,5116.316343770104,407.4074890583452,91.09908400769618,4963.482833309893,5320.591242620062,20,0.0,0.0
ellm_adapted,influence_max_simulated,partial_overlap,0.2,200,10,5000,8176.104081244041,7719.795723247158,1579.5124123615906,353.1897125345196,7483.852244676382,8868.3559178117,20,15000.0,0.0
ellm_adapted,influence_max_simulated,uniform,0.1,200,10,5000,8176.104081244041,7719.795723247158,1579.5124123615906,353.1897125345196,7483.852244676382,8868.3559178117,20,15000.0,0.0
ellm_adapted,influence_max_simulated,uniform,0.3,200,10,5000,8176.104081244041,7719.795723247158,1579.5124123615901,353.1897125345195,7483.852244676383,8868.3559178117,20,15000.0,0.0
llm_cucb_at,influence_max_simulated,partial_overlap,0.2,200,10,5000,5203.31506901447,5178.13910274706,434.7959963638608,97.2233404214344,5012.75732178846,5393.872816240482,20,14240.7,0.0
llm_cucb_at,influence_max_simulated,uniform,0.1,200,10,5000,5687.615958766437,5751.684903028448,493.0142054416886,110.24132772406622,5471.542956427267,5903.688961105607,20,13419.3,0.0
llm_cucb_at,influence_max_simulated,uniform,0.3,200,10,5000,5418.226943868588,5368.031908817649,446.82615640945073,99.91336598564853,5222.396746536717,5614.057141200459,20,14013.75,0.0
llm_greedy,influence_max_simulated,partial_overlap,0.2,200,10,5000,8255.79509269592,7806.259421841845,1425.375999833265,318.7237629123909,7631.096517387632,8880.493668004205,20,15000.0,0.0
llm_greedy,influence_max_simulated,uniform,0.1,200,10,5000,8214.741860268708,7756.381659400771,1503.8939845045613,336.28091803052143,7555.631260928886,8873.85245960853,20,15000.0,0.0
llm_greedy,influence_max_simulated,uniform,0.3,200,10,5000,8286.173290808463,7836.669788068656,1358.9990141641063,303.88141770261404,7690.56571211134,8881.780869505586,20,15000.0,0.0
warm_start_cts,influence_max_simulated,partial_overlap,0.2,200,10,5000,348.60853221853347,345.1937494682886,58.80685626173738,13.14961281443039,322.8352911022499,374.381773334817,20,3.0,0.0
warm_start_cts,influence_max_simulated,uniform,0.1,200,10,5000,342.10972224827646,348.58059087487857,39.26437840121186,8.779781919938422,324.90134968519715,359.31809481135576,20,3.0,0.0
warm_start_cts,influence_max_simulated,uniform,0.3,200,10,5000,347.549157094758,348.58059087487857,54.11888198969736,12.101349899525237,323.8305112916886,371.26780289782755,20,3.0,0.0
