agent,env,corruption_type,epsilon,d,m,T,mean_regret,median_regret,std_regret,se_regret,ci95_lower,ci95_upper,n_seeds,mean_queries,mean_tokens
cucb,synthetic_bernoulli,none,0.0,100,10,30000,7241.8016577317985,7256.964985114227,393.14196297637176,71.77757380800647,7101.117613068104,7382.485702395489,30,0.0,0.0
ellm_adapted,synthetic_bernoulli,adversarial,0.3,100,10,30000,70299.77077281802,69447.2550865327,10748.433718568107,1962.3865351696288,66453.49316388555,74146.0483817505,30,90000.0,0.0
ellm_adapted,synthetic_bernoulli,consistent_wrong,1.0,100,10,30000,68657.018501141,72370.60569216375,12133.028143480196,2215.1777350097104,64315.270140521956,72998.76686176003,30,90000.0,0.0
ellm_adapted,synthetic_bernoulli,uniform,0.0,100,10,30000,70300.53419647642,69447.2550865327,10748.742690804502,1962.4429455241338,66454.14602324912,74146.92236970372,30,90000.0,0.0
ellm_adapted,synthetic_bernoulli,uniform,0.2,100,10,30000,70300.54267217127,69447.2550865327,10748.747712240194,1962.4438623086671,66454.15270204628,74146.93264229626,30,90000.0,0.0
llm_cucb_at,synthetic_bernoulli,adversarial,0.3,100,10,30000,13854.279432644385,13919.929403405262,1457.4067326411123,266.08484764247936,13332.753131265126,14375.805734023645,30,88730.0,0.0
llm_cucb_at,synthetic_bernoulli,consistent_wrong,1.0,100,10,30000,23419.641885988323,23656.762336746113,2934.178727081417,535.7052921914288,22369.659513293132,24469.624258683536,30,78216.4,0.0
llm_cucb_at,synthetic_bernoulli,uniform,0.0,100,10,30000,24132.177122434492,24377.90856851493,2189.513334846839,399.74861448465856,23348.669838044567,24915.68440682443,30,76777.7,0.0
llm_cucb_at,synthetic_bernoulli,uniform,0.2,100,10,30000,17540.845581091613,17492.866583616313,2123.9977911011215,387.7871674257433,16780.782732937154,18300.908429246065,30,87769.5,0.0
llm_greedy,synthetic_bernoulli,adversarial,0.3,100,10,30000,70068.70923072386,70979.2044269728,8357.523179644504,1525.8679901211985,67078.00797008631,73059.41049136141,30,90000.0,0.0
llm_greedy,synthetic_bernoulli,consistent_wrong,1.0,100,10,30000,68657.09549123952,72373.05641625421,12136.79044541976,2215.864634223192,64314.00080816208,73000.19017431699,30,90000.0,0.0
llm_greedy,synthetic_bernoulli,uniform,0.0,100,10,30000,70301.15920781382,69447.54226846021,10751.808548803077,1963.00269205211,66453.67393139169,74148.64448423595,30,90000.0,0.0
llm_greedy,synthetic_bernoulli,uniform,0.2,100,10,30000,69925.29304781636,69292.33855714602,8941.70319122421,1632.5241801164768,66725.54565478806,73125.04044084466,30,90000.0,0.0
warm_start_cts,synthetic_bernoulli,adversarial,0.3,100,10,30000,1465.0587838126487,1412.6254567160631,208.64793182519568,38.09372627915324,1390.3950803055084,1539.722487319789,30,3.0,0.0
warm_start_cts,synthetic_bernoulli,consistent_wrong,1.0,100,10,30000,1475.504200113394,1428.1073386797204,265.63739335220885,48.498530818625866,1380.447079708887,1570.5613205179006,30,3.0,0.0
warm_start_cts,synthetic_bernoulli,uniform,0.0,100,10,30000,1455.0295802810313,1423.6860296725247,168.2485808920419,30.717847674268004,1394.822598839466,1515.236561722597,30,3.0,0.0
warm_start_cts,synthetic_bernoulli,uniform,0.2,100,10,30000,1444.2689971617356,1394.13138958115,176.41073112755276,32.2080456081798,1381.1412277697034,1507.3967665537682,30,3.0,0.0
